org_id,account_name,account_id,has_2026_02_modified_today,record_id,metric_period_key,date,last_modified_by,last_modified_at
00D8a000002TPIeEAO,Lewis Museum,0018W00001hguY1QAI,YES,a3wVs000001uI9mIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:38
00DKd00000INqvaMAD,Port Discovery Children's Museum,0015w00002eikTmAAI,YES,a3wVs000001uK0HIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:43
00DHo000002GeRyMAK,Oklahoma City National Memorial & Museum,0018W00002MDbjNQAT,YES,a3wVs000001uJk9IAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:01
00DHp000003UcVYMA0,Friends of the Corpus Christi Museum of Science and History,0018W00002GQeZaQAL,YES,a3wVs000001uJllIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:32:58
00DHr000001uSgmMAE,The Huntsville Museum of Art,0018W000025xtKZQAY,YES,a3wVs000001uJsDIAU,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:31
00Da5000015JHl2EAG,Montclair Art Museum,001Vs00000JsXkAIAV,YES,a3wVs000001uJPBIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:37:17
00Dfn00000DSnsjEAD,Illinois Holocaust Museum And Education Center,001Vs00000bgrhBIAQ,YES,a3wVs000001uVBpIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:34:39
00DHo000001caiTMAQ,The James Museum,0018W00002L9MhlQAF,YES,a3wVs000001uVLVIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:42:45
00Dfn00000DhYWnEAN,Eiteljorg Museum,001Vs00000BZCBGIA5,YES,a3wVs000001uVADIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:31:28
00DHp000003T5AyMAK,Pacific War Museum,0015w00002JciqFAAR,YES,a3wVs000001uVIHIA2,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:39:27
00D8Z000001sMgCUAU,Kiewit Luminarium (Omaha Discovery Trust),0018W00001t6kDPQAY,YES,a3wVs000001uVGfIAM,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:35:22
00D6e000001hUunEAE,B&O Railroad Museum,0018W000029VgEwQAK,YES,a3wVs000001uV6zIAE,2026-02,2026-01-29,Jose Daniel Angarita,2026-05-25T16:28:54
